Accession #,Site,Type,Image_1,Image_2,Image_3,Image_4,Image_5,Image_6,Match_Confidence,Notes
66317,Montefrío,AXE,Montefrío/Raw/66317 (1).JPG,Montefrío/Raw/66317 (2).JPG,Montefrío/Raw/66317 (4).JPG,,,,High,
66435,Montefrío,AXE,Montefrío/Raw/66435 (1).JPG,Montefrío/Raw/66435 (2).JPG,,,,,High,
66480,Montefrío,AXE,Montefrío/Raw/66480 (1).JPG,Montefrío/Raw/66480 (2).JPG,,,,,High,
66500,Montefrío,AXE,Montefrío/Raw/66500 (1).JPG,Montefrío/Raw/66500 (2).JPG,Montefrío/Raw/66500 (3).JPG,,,,High,
66585,Montefrío,AXE,Montefrío/Raw/66585 (1).JPG,Montefrío/Raw/66585 (2).JPG,Montefrío/Raw/66585 (3).JPG,,,,High,
66631,Montefrío,AXE,Montefrío/Raw/66631 (1).JPG,Montefrío/Raw/66631 (2).JPG,Montefrío/Raw/66631 (3).JPG,,,,High,
66676,Montefrío,AXE,Montefrío/Raw/66676 (1).JPG,Montefrío/Raw/66676 (2).JPG,,,,,High,
66734,Montefrío,AXE,Montefrío/Raw/66734 (1).JPG,Montefrío/Raw/66734 (2).JPG,,,,,High,
66810,Montefrío,AXE,Montefrío/Raw/66810 (1).JPG,Montefrío/Raw/66810 (2).JPG,Montefrío/Raw/66810 (3).JPG,,,,High,
6692,Montefrío,AXE,Montefrío/Raw/6692 (1).JPG,Montefrío/Raw/6692 (2).JPG,Montefrío/Raw/6692 (3).JPG,,,,High,
67758,Montefrío,AXE,Montefrío/Raw/67758 (1).JPG,Montefrío/Raw/67758 (2).JPG,Montefrío/Raw/67758 (3).JPG,,,,High,
67767,Montefrío,AXE,Montefrío/Raw/67767 (1).JPG,Montefrío/Raw/67767 (2).JPG,Montefrío/Raw/67767 (3).JPG,,,,High,
67940,Montefrío,AXE,Montefrío/Raw/67940 (1).JPG,Montefrío/Raw/67940 (2).JPG,,,,,High,
67972,Montefrío,AXE,Montefrío/Raw/67972 (1).JPG,Montefrío/Raw/67972 (2).JPG,Montefrío/Raw/67972 (3).JPG,,,,High,
68074,Montefrío,AXE,Montefrío/Raw/68074 (1).JPG,Montefrío/Raw/68074 (2).JPG,,,,,High,
68113,Montefrío,AXE,Montefrío/Raw/68113 (1).JPG,Montefrío/Raw/68113 (2).JPG,,,,,High,
68121,Montefrío,AXE,Montefrío/Raw/68121 (1).JPG,Montefrío/Raw/68121 (2).JPG,Montefrío/Raw/68121 (3).JPG,,,,High,
68124,Montefrío,AXE,Montefrío/Raw/68124 (1).JPG,Montefrío/Raw/68124 (2).JPG,Montefrío/Raw/68124 (3).JPG,,,,High,
68138,Montefrío,AXE,Montefrío/Raw/68138 (1).JPG,Montefrío/Raw/68138 (2).JPG,Montefrío/Raw/68138 (3).JPG,,,,High,
68139,Montefrío,PPUL,Montefrío/Raw/68139 (1).JPG,Montefrío/Raw/68139 (2).JPG,Montefrío/Raw/68139 (3).JPG,,,,High,
68144,Montefrío,AXE,Montefrío/Raw/68144 (1).JPG,Montefrío/Raw/68144 (2).JPG,,,,,High,
68158,Montefrío,AXE,Montefrío/Raw/68158 (1).JPG,Montefrío/Raw/68158 (2).JPG,Montefrío/Raw/68158 (3).JPG,,,,High,
68180,Montefrío,AXE,Montefrío/Raw/68180 (1).JPG,Montefrío/Raw/68180 (2).JPG,,,,,High,
68214,Montefrío,AXE,Montefrío/Raw/68214 (1).JPG,Montefrío/Raw/68214 (2).JPG,,,,,High,
68251,Montefrío,AXE,Montefrío/Raw/68251 (1).JPG,Montefrío/Raw/68251 (2).JPG,,,,,High,
6829,Montefrío,AXE,Montefrío/Raw/6829 (1).JPG,Montefrío/Raw/6829 (2).JPG,Montefrío/Raw/6829 (3).JPG,,,,High,
68296,Montefrío,AXE,Montefrío/Raw/68296 (1).JPG,Montefrío/Raw/68296 (2).JPG,,,,,High,
68476,Montefrío,AXE,Montefrío/Raw/68476 (1).JPG,Montefrío/Raw/68476 (2).JPG,,,,,High,
69169,Montefrío,AXE,Montefrío/Raw/69169 (1).JPG,Montefrío/Raw/69169 (2).JPG,,,,,High,
69280,Montefrío,AXE,Montefrío/Raw/69280 (1).JPG,Montefrío/Raw/69280 (2).JPG,Montefrío/Raw/69280 (3).JPG,,,,High,
69432-2,Montefrío,AXE,Montefrío/Raw/69432-2 (1).JPG,Montefrío/Raw/69432-2 (2).JPG,Montefrío/Raw/69432-2 (3).JPG,,,,High,
69601,Montefrío,AXE,Montefrío/Raw/69601 (1).JPG,Montefrío/Raw/69601 (2).JPG,,,,,High,
RPPUL-1,Malagón,AXE,Montefrío/Raw/RPPUL-1 (1).JPG,Montefrío/Raw/RPPUL-1 (2).JPG,Montefrío/Raw/RPPUL-1 (3).JPG,,,,Medium,
RPPUL-3,Malagón,AXE,Montefrío/Raw/RPPUL-3 (1).JPG,Montefrío/Raw/RPPUL-3 (2).JPG,Montefrío/Raw/RPPUL-3 (3).JPG,,,,Medium,
10489,Hinojares,AXE,Jaén Museum/10489 (1).jpg,Jaén Museum/10489 (2).jpg,Jaén Museum/10489 (3).jpg,Jaén Museum/10489 (4).jpg,,,High,
11680,Martos,AXE,Jaén Museum/11680 (1).jpg,Jaén Museum/11680 (2).jpg,Jaén Museum/11680 (3).jpg,Jaén Museum/11680 (4).jpg,,,High,
1564,Castillo de Locubín,AXE,Jaén Museum/1564 (1).jpg,Jaén Museum/1564 (2).jpg,Jaén Museum/1564 (3).jpg,Jaén Museum/1564 (4).jpg,,,High,
1603,MJ DEC,AXE,Jaén Museum/1603 (1).jpg,Jaén Museum/1603 (2).jpg,Jaén Museum/1603 (3).jpg,Jaén Museum/1603 (4).jpg,,,High,
1668,MJ DEC,AXE,Jaén Museum/1668 (1).jpg,Jaén Museum/1668 (2).jpg,Jaén Museum/1668 (3).jpg,Jaén Museum/1668 (4).jpg,,,High,
1803,Mengíbar,AXE,Jaén Museum/1803 (1).jpg,Jaén Museum/1803 (2).jpg,Jaén Museum/1803 (3).jpg,Jaén Museum/1803 (4).jpg,,,High,
1805,MJ DEC,AXE,Jaén Museum/1805 (1).jpg,Jaén Museum/1805 (2).jpg,Jaén Museum/1805 (3).jpg,Jaén Museum/1805 (4).jpg,,,High,
1812,Mengíbar,AXE,Jaén Museum/1812 (1).jpg,Jaén Museum/1812 (2).jpg,Jaén Museum/1812 (3).jpg,Jaén Museum/1812 (4).jpg,,,High,
1813,Mágina,AXE,Jaén Museum/1813 (1).jpg,Jaén Museum/1813 (2).jpg,Jaén Museum/1813 (3).jpg,Jaén Museum/1813 (4).jpg,,,High,
19232,Marroquíes Bajos,AXE,Jaén Museum/19232 (1).jpg,Jaén Museum/19232 (2).jpg,Jaén Museum/19232 (3).jpg,Jaén Museum/19232 (4).jpg,,,High,
19233,Martos,AXE,Jaén Museum/19233 (1).jpg,Jaén Museum/19233 (2).jpg,Jaén Museum/19233 (3).jpg,Jaén Museum/19233 (4).jpg,,,High,
19235,Martos,AXE,Jaén Museum/19235 (1).jpg,Jaén Museum/19235 (2).jpg,Jaén Museum/19235 (3).jpg,Jaén Museum/19235 (4).jpg,,,High,
19238,Marroquíes Bajos,AXE,Jaén Museum/19238 (1).jpg,Jaén Museum/19238 (2).jpg,Jaén Museum/19238 (3).jpg,Jaén Museum/19238 (4).jpg,,,High,
19241,Martos,AXE,Jaén Museum/19241 (1).jpg,Jaén Museum/19241 (2).jpg,Jaén Museum/19241 (3).jpg,Jaén Museum/19241 (4).jpg,,,High,
19247,Marroquíes Bajos,AXE,Jaén Museum/19247 (1).jpg,Jaén Museum/19247 (2).jpg,Jaén Museum/19247 (3).jpg,Jaén Museum/19247 (4).jpg,,,High,
19249,Marroquíes Bajos,AXE,Jaén Museum/19249 (1).jpg,Jaén Museum/19249 (2).jpg,Jaén Museum/19249 (3).jpg,Jaén Museum/19249 (4).jpg,,,High,
19265,Marroquíes Bajos,AXE,Jaén Museum/19265 (1).jpg,Jaén Museum/19265 (2).jpg,Jaén Museum/19265 (3).jpg,Jaén Museum/19265 (4).jpg,,,High,
19275,Marroquíes Bajos,AXE,Jaén Museum/19275 (1).jpg,Jaén Museum/19275 (2).jpg,Jaén Museum/19275 (3).jpg,Jaén Museum/19275 (4).jpg,,,High,
19277,Martos,AXE,Jaén Museum/19277 (1).jpg,Jaén Museum/19277 (2).jpg,Jaén Museum/19277 (3).jpg,Jaén Museum/19277 (4).jpg,,,High,
19291,Quesada,AXE,Jaén Museum/19291 (1).jpg,Jaén Museum/19291 (2).jpg,Jaén Museum/19291 (3).jpg,Jaén Museum/19291 (4).jpg,,,High,
19293,Martos,AXE,Jaén Museum/19293 (1).jpg,Jaén Museum/19293 (2).jpg,Jaén Museum/19293 (3).jpg,Jaén Museum/19293 (4).jpg,,,High,
19294,Martos,AXE,Jaén Museum/19294 (1).jpg,Jaén Museum/19294 (2).jpg,Jaén Museum/19294 (3).jpg,Jaén Museum/19294 (4).jpg,,,High,
19518,Marroquíes Bajos,AXE,Jaén Museum/19518 (1).jpg,Jaén Museum/19518 (2).jpg,Jaén Museum/19518 (3).jpg,Jaén Museum/19518 (4).jpg,,,High,
19531,Marroquíes Bajos,AXE,Jaén Museum/19531 (1).jpg,Jaén Museum/19531 (2).jpg,Jaén Museum/19531 (3).jpg,Jaén Museum/19531 (4).jpg,,,High,
19532,Marroquíes Bajos,AXE,Jaén Museum/19532 (1).jpg,Jaén Museum/19532 (2).jpg,Jaén Museum/19532 (3).jpg,Jaén Museum/19532 (4).jpg,,,High,
19535,Marroquíes Bajos,AXE,Jaén Museum/19535 (1).jpg,Jaén Museum/19535 (2).jpg,Jaén Museum/19535 (3).jpg,Jaén Museum/19535 (4).jpg,,,High,
19537,Marroquíes Bajos,AXE,Jaén Museum/19537 (1).jpg,Jaén Museum/19537 (2).jpg,Jaén Museum/19537 (3).jpg,Jaén Museum/19537 (4).jpg,,,High,
19543,Marroquíes Bajos,AXE,Jaén Museum/19543 (1).jpg,Jaén Museum/19543 (2).jpg,Jaén Museum/19543 (3).jpg,Jaén Museum/19543 (4).jpg,,,High,
19560,Marroquíes Bajos,AXE,Jaén Museum/19560 (1).jpg,Jaén Museum/19560 (2).jpg,Jaén Museum/19560 (3).jpg,Jaén Museum/19560 (4).jpg,,,High,
19731,Marroquíes Bajos,AXE,Jaén Museum/19731 (1).jpg,Jaén Museum/19731 (2).jpg,Jaén Museum/19731 (3).jpg,Jaén Museum/19731 (4).jpg,,,High,
19744,Mengíbar,AXE,Jaén Museum/19744 (1).jpg,Jaén Museum/19744 (2).jpg,Jaén Museum/19744 (3).jpg,Jaén Museum/19744 (4).jpg,,,High,
19820,Marroquíes Bajos,AXE,Jaén Museum/19820 (1).jpg,Jaén Museum/19820 (2).jpg,Jaén Museum/19820 (3).jpg,Jaén Museum/19820 (4).jpg,,,High,
19823,Marroquíes Bajos,AXE,Jaén Museum/19823 (1).jpg,Jaén Museum/19823 (2).jpg,Jaén Museum/19823 (3).jpg,Jaén Museum/19823 (4).jpg,,,High,
19824,Marroquíes Bajos,AXE,Jaén Museum/19824 (1).jpg,Jaén Museum/19824 (2).jpg,Jaén Museum/19824 (3).jpg,Jaén Museum/19824 (4).jpg,,,High,
19832,Marroquíes Bajos,AXE,Jaén Museum/19832 (1).jpg,Jaén Museum/19832 (2).jpg,Jaén Museum/19832 (3).jpg,Jaén Museum/19832 (4).jpg,,,High,
19833,Marroquíes Bajos,AXE,Jaén Museum/19833 (1).jpg,Jaén Museum/19833 (2).jpg,Jaén Museum/19833 (3).jpg,Jaén Museum/19833 (4).jpg,,,High,
19834,Marroquíes Bajos,AXE,Jaén Museum/19834 (1).jpg,Jaén Museum/19834 (2).jpg,Jaén Museum/19834 (3).jpg,Jaén Museum/19834 (4).jpg,,,High,
19836,Marroquíes Bajos,AXE,Jaén Museum/19836 (1).jpg,Jaén Museum/19836 (2).jpg,Jaén Museum/19836 (3).jpg,Jaén Museum/19836 (4).jpg,,,High,
19840,Marroquíes Bajos,AXE,Jaén Museum/19840 (1).jpg,Jaén Museum/19840 (2).jpg,Jaén Museum/19840 (3).jpg,Jaén Museum/19840 (4).jpg,,,High,
19841,Marroquíes Bajos,AXE,Jaén Museum/19841 (1).jpg,Jaén Museum/19841 (2).jpg,Jaén Museum/19841 (3).jpg,Jaén Museum/19841 (4).jpg,,,High,
19845,Marroquíes Bajos,AXE,Jaén Museum/19845 (1).jpg,Jaén Museum/19845 (2).jpg,Jaén Museum/19845 (3).jpg,Jaén Museum/19845 (4).jpg,,,High,
19847,Marroquíes Bajos,AXE,Jaén Museum/19847 (1).jpg,Jaén Museum/19847 (2).jpg,Jaén Museum/19847 (3).jpg,Jaén Museum/19847 (4).jpg,,,High,
19848,Marroquíes Bajos,AXE,Jaén Museum/19848 (1).jpg,Jaén Museum/19848 (2).jpg,Jaén Museum/19848 (3).jpg,Jaén Museum/19848 (4).jpg,,,High,
19851,Marroquíes Bajos,AXE,Jaén Museum/19851 (1).jpg,Jaén Museum/19851 (2).jpg,Jaén Museum/19851 (3).jpg,Jaén Museum/19851 (4).jpg,,,High,
19858,Marroquíes Bajos,AXE,Jaén Museum/19858 (1).jpg,Jaén Museum/19858 (2).jpg,Jaén Museum/19858 (3).jpg,Jaén Museum/19858 (4).jpg,,,High,
19861,Marroquíes Bajos,AXE,Jaén Museum/19861 (1).jpg,Jaén Museum/19861 (2).jpg,Jaén Museum/19861 (3).jpg,,,,High,
20012,Marroquíes Bajos,AXE,Jaén Museum/20012 (1).jpg,Jaén Museum/20012 (2).jpg,Jaén Museum/20012 (3).jpg,Jaén Museum/20012 (4).jpg,,,High,
20044,Marroquíes Bajos,AXE,Jaén Museum/20044 (1).jpg,Jaén Museum/20044 (2).jpg,Jaén Museum/20044 (3).jpg,Jaén Museum/20044 (4).jpg,,,High,
20049,Marroquíes Bajos,AXE,Jaén Museum/20049 (1).jpg,Jaén Museum/20049 (2).jpg,Jaén Museum/20049 (3).jpg,Jaén Museum/20049 (4).jpg,,,High,
20054,Marroquíes Bajos,AXE,Jaén Museum/20054 (1).jpg,Jaén Museum/20054 (2).jpg,Jaén Museum/20054 (3).jpg,Jaén Museum/20054 (4).jpg,,,High,
20055,Marroquíes Bajos,AXE,Jaén Museum/20055 (1).jpg,Jaén Museum/20055 (2).jpg,Jaén Museum/20055 (3).jpg,Jaén Museum/20055 (4).jpg,,,High,
20072,Hornos de Segura,AXE,Jaén Museum/20072 (1).jpg,Jaén Museum/20072 (2).jpg,Jaén Museum/20072 (3).jpg,Jaén Museum/20072 (4).jpg,,,High,
